1.056712219999021318e+00 1.470938962066382860e+00
5.711624376393897862e-01 7.341534659396098395e-01
2.861496451597445034e-01 3.303547492710522948e-01
1.946972322094150387e+00 2.647455105638599981e+00
8.151884705617280513e-01 1.105733451404946832e+00
1.153168662397363153e+00 1.612722106691983015e+00
8.010878212891261452e-01 1.084148516442113852e+00
4.321372184873606415e-03 4.330735951882771877e-03
1.427801637562458259e+00 1.998388819568127639e+00
1.308217497546810382e+00 1.833952865704872259e+00
1.737899374700580646e+00 2.398546067935951598e+00
7.361169211698244119e-01 9.846457121250848932e-01
1.390671350502250103e+00 1.947929592077778160e+00
4.934759191962121427e-01 6.190510825078789914e-01
1.721216892926924258e+00 2.377976411686722358e+00
1.797967956731340466e+00 2.471730858932766672e+00
1.695419119906365735e+00 2.345956392674729774e+00
1.107022229144527969e+00 1.545256492681194915e+00
2.228899471070295846e-01 2.497021543634969920e-01
5.759856033603456549e-01 7.413817931145432194e-01
